id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1
ata-38957,-6.6171985,-1.5332366,-4.5176983,-2.969466,-4.0922823,-5.46994,-3.786222,-0.5898523,5.6566496,0.591616,-5.363992,-3.7954066,7.342025,0.59609896,-0.77883977,-6.914916,-4.718745,-1.7632048,5.2156057,4.511416,6.929464,1.5248579,7.006351,4.1816463,-4.765996,-6.267204,-7.4434524,-4.62958,3.0913575,2.0765324,4.9831247,2.4095829,6.2274203,2.0514028,3.9893882,-0.20629334,-2.8343918,0.2917148
ata-40179,-6.85627,0.14462863,-2.7973096,-2.0932143,-2.914863,-6.82759,-2.0231674,0.013265899,4.175359,-0.47288096,-3.0781333,-4.4437695,5.3426595,-0.21987383,1.2494322,-4.885118,-4.3300824,0.79523754,4.073117,2.0584462,6.0516977,-0.9782073,7.497362,1.8229383,-3.3648665,-4.239458,-8.266127,-2.4392843,3.4607017,-0.19742678,5.5061965,0.06899189,5.783628,-0.06579427,2.2473783,-1.2404816,-2.9811168,-2.0001845
ata-42116,-6.735916,0.44832498,-2.5543127,-2.1728714,-2.6786327,-6.855793,-1.7786021,0.29867747,3.9880457,-0.6276462,-2.8982174,-4.5712004,5.0656033,-0.0236012,1.2434819,-4.8251762,-4.4697433,0.9453287,4.02281,2.0123737,6.1709204,-1.1525631,7.5290833,1.588442,-3.2185097,-4.110219,-8.407704,-2.3411927,3.5559719,-0.51750946,5.382988,-0.3082421,5.6388583,-0.33134624,1.9470029,-1.3672639,-2.750205,-2.130838
ata-42222,-6.5002613,-2.0842865,-4.7973957,-3.52406,-4.100255,-4.9448028,-4.216339,-0.6191367,6.496965,0.85025704,-5.7493186,-3.6120293,7.8683195,0.76607734,-0.72500753,-7.2417526,-4.447924,-1.9776635,5.53956,4.5973725,6.5923862,1.7509857,6.5758486,4.2819,-4.6925426,-6.6475782,-6.873301,-4.6826005,2.648416,2.236029,4.5402393,2.4078457,5.8718486,2.6151974,3.9693153,0.3914215,-2.5105553,0.9131089
ata-50402,-6.824314,0.5230158,-2.4519894,-2.08429,-2.7908041,-7.091646,-1.7950538,-0.09263447,3.8472762,-0.51763684,-2.8146088,-4.6677656,5.0970206,0.114712894,0.9546284,-4.7217956,-4.6220427,1.1002862,3.8035743,1.9447207,6.292805,-1.1001544,7.637,1.7702978,-3.6186535,-4.1624303,-8.545767,-2.632756,3.8491845,-0.18000846,5.7226596,0.012256632,6.0555334,-0.07451974,2.401902,-1.6028537,-3.3715181,-1.7816184
ata-50880,-18.74214,0.36153418,-15.440387,-9.828969,-17.848742,-11.937974,-20.555212,-5.9276667,19.260902,6.154298,-10.531605,-4.617082,12.141497,3.1638904,-5.341985,-10.867638,-5.241016,-7.103418,7.7191167,10.79022,8.518419,6.371382,6.377651,9.424385,-7.684468,-9.935433,-5.897372,-8.8076725,3.4108107,6.782949,4.959115,6.9440494,9.075199,5.1740923,8.321716,0.35521215,-3.8882575,5.1448364
ata-53669,-6.8124413,-1.7613367,-4.9325023,-3.071991,-4.342719,-5.4898806,-3.7705576,-0.7471112,5.7815,0.85573727,-5.6879964,-4.1144543,7.540257,0.9704344,-0.9663231,-6.855918,-5.0091424,-1.8410298,5.0658174,4.6999474,6.911588,1.4376794,7.112731,4.189946,-4.8056607,-6.3168187,-7.403107,-4.6918736,3.2917762,2.2121043,5.1696825,2.4285467,6.346124,2.076789,4.0954046,-0.16196649,-3.0115802,0.33416954
ata-53865,-18.73978,-0.18388847,-2.488898,-1.9918224,-2.6193879,-7.089649,-1.5455456,0.005511792,3.7647183,-0.7831684,-2.772249,-4.437176,4.974161,-0.26530176,1.4828627,-4.8985734,-4.151216,1.049582,4.2374253,1.7672205,5.722001,-1.1880816,7.341441,1.5553354,-3.184903,-4.123849,-8.241607,-2.1795228,3.5691977,-0.37054324,5.4460154,-0.20317234,5.842691,-0.06632243,2.3288808,-1.429985,-2.9854531,-2.0517867
ata-54797,-7.30579,-2.7520306,-6.226388,-3.7117612,-5.438046,-4.9564734,-5.0326295,-1.2584593,6.594108,2.053681,-6.8694506,-4.312522,8.200282,2.1149194,-1.7335687,-7.196027,-5.341176,-2.678592,5.018667,5.568174,7.9358478,2.4916573,7.5206547,5.2536592,-5.701326,-6.5338817,-7.768158,-5.962605,3.7828398,2.7921047,5.6799493,3.0938258,7.1847763,2.4578285,5.0340705,-0.34188202,-3.610461,0.9510925
ata-60787,-7.583499,-3.6450605,-7.5225606,-3.595535,-5.982166,-3.7960234,-6.2334156,-1.7330289,7.822962,1.4275073,-7.266612,-2.7859435,9.269192,0.9287467,-1.9248912,-8.98786,-3.9628491,-3.5549133,6.954046,6.3460283,6.284657,3.8322666,5.4110746,5.613187,-5.165432,-8.149298,-5.471696,-5.4560785,1.5109785,3.4397671,3.6120558,3.5141122,5.634012,4.2388844,4.9829235,1.8498181,-1.6678729,2.1173346
