id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1
ata-38910,31.338942,13.203423,-10.392078,-30.458817,-32.131058,4.0382676,-34.780804,-10.139022,34.755207,4.887202,-29.771532,-19.620102,-8.760902,-34.909313,38.187153,4.7546644,-26.891844,-25.284338,31.40094,-19.487507,36.235123,-6.3535957,-15.892973,-34.434395,2.216346,-35.255875,17.396725,29.282164,6.0109496,35.83128,-24.83116,25.993052,15.345048,33.174133,37.7027,0.40351218,26.250175,27.90327
ata-38957,18.649935,5.659919,-6.5996985,-15.432091,-17.26576,-1.6990147,-19.489332,-5.8960476,17.39003,4.297709,-16.112673,-8.234661,-4.8699594,-16.85264,18.561153,0.5622228,-13.9714,-11.699251,15.210259,-9.966827,18.076162,-2.4609077,-7.543859,-16.057098,1.2404926,-17.068895,7.4332747,13.75912,2.022137,17.129692,-11.231313,13.123163,6.159878,16.667456,19.928679,0.045484506,11.3587055,15.508543
ata-40179,29.844954,9.929779,-8.630799,-27.802534,-30.14165,0.83404464,-30.838516,-7.7341747,31.091957,2.4565828,-26.279575,-16.100481,-8.685451,-30.668299,35.239017,1.9059306,-23.06286,-22.988258,28.793785,-17.107943,33.17198,-7.493983,-13.469947,-30.71957,2.7455206,-31.652002,16.59683,24.710537,4.4229417,32.388233,-21.034542,23.151493,11.967453,29.177368,33.64439,-1.1490921,25.691444,24.096556
ata-42116,30.946947,10.787641,-8.538677,-28.892803,-31.562649,1.2080244,-33.158764,-8.133475,32.47244,5.7056413,-29.541948,-17.01668,-9.4067745,-32.109875,36.665966,2.2122467,-24.108932,-24.192457,30.157728,-16.797697,33.915905,-8.382277,-13.714769,-32.239037,3.672611,-32.433434,17.481276,26.239437,3.4528284,33.628834,-21.30248,24.862782,12.624369,31.229582,35.196682,-2.754342,27.236109,23.494827
ata-42222,17.086662,5.851466,-7.602193,-13.958647,-16.173868,-2.9219315,-18.287586,-5.2434382,15.492704,4.859721,-14.813183,-6.5799165,-4.9812045,-14.968754,17.413813,-0.37158388,-12.385425,-11.35588,14.410516,-7.552193,16.61379,-3.160082,-5.7714725,-15.8082905,2.6711345,-15.969967,8.09858,11.852972,-0.041352432,15.524223,-9.059242,12.878222,3.8963451,15.650135,17.675575,-1.4790459,10.483772,11.891751
ata-50402,28.599583,11.789442,-9.938918,-28.67908,-30.381105,3.1750307,-32.486217,-10.138542,31.565012,4.3198776,-27.885838,-18.310474,-6.6073422,-32.058125,34.548344,4.4190784,-25.648706,-21.89407,27.8569,-18.436327,33.13385,-4.6461625,-16.069841,-30.775589,0.51571786,-32.69659,15.12251,27.360981,7.9003057,31.994661,-23.793655,21.74799,15.359519,28.670513,33.77593,2.2831798,21.524721,26.681509
ata-50880,-26.09462,8.696951,26.37549,6.601239,21.173477,18.845856,22.084272,-11.114356,-14.020392,-25.011036,11.008271,-6.244745,26.098694,0.91339487,-7.949577,15.293391,-4.1301713,12.74426,-12.43216,-7.250777,-1.3954672,13.937451,-7.812566,9.96767,-12.257317,2.8400707,-12.279649,1.862068,9.954279,-6.2248955,-5.362836,-12.275006,9.37126,-9.632969,-3.6352522,13.990887,-16.242151,7.7455807
ata-53669,16.943434,8.710329,-3.330813,-17.601635,-18.21623,4.421794,-19.457388,-8.166585,20.690268,-0.096177004,-16.014494,-9.771888,-3.4441543,-17.390265,18.793594,2.3407562,-15.457305,-11.030851,15.057315,-11.647075,20.632498,-1.0237839,-8.847814,-15.962082,0.45520362,-17.576735,7.026419,14.28772,2.740768,17.341482,-11.90803,13.009611,6.9980345,16.50775,20.180984,0.7159964,11.0207405,16.244652
ata-53865,-24.478582,10.000843,-9.051971,-30.691858,-31.264668,4.7105937,-34.026604,-10.921229,35.30408,6.037008,-28.134392,-20.150293,-5.729412,-34.014282,35.159775,6.7834654,-27.552841,-20.600399,31.517988,-17.067022,36.414867,-9.229274,-12.72088,-35.282326,5.4309983,-34.418095,20.664932,26.606697,9.442659,33.654522,-25.800205,21.855362,17.230703,29.286676,33.10783,-2.8679423,29.618011,25.283201
ata-54797,11.74082,8.222843,-0.145322,-13.590019,-13.417688,5.3610783,-13.850601,-10.88973,14.187469,-4.758699,-6.801149,-12.848288,4.325196,-15.3099375,14.473851,8.081659,-15.276591,-4.9210296,7.5719347,-12.931289,16.880339,4.096257,-13.580202,-10.589637,-6.9685802,-15.363616,-0.3990676,16.38814,9.9265375,13.861529,-16.288015,6.1365166,14.243967,12.008538,18.936947,7.908347,5.5562105,21.11365
ata-60787,4.3748107,9.121165,5.216811,-7.228432,-6.9026423,-2.5796566,-4.4067774,-3.5051198,7.5026417,3.6822402,-8.4185,-0.8044189,-5.5501175,-8.273857,9.243634,-3.8731203,-2.487519,-4.9752107,5.418037,0.84638053,2.9963655,-3.9299495,1.1590679,-5.3405223,2.3190126,-4.4325213,2.8564658,1.902209,-1.7004864,4.7424684,-0.641456,3.989666,-1.1970696,4.3891573,5.5194874,-1.512422,5.598721,3.407033
