id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
a-107,-2.302793264389038,0.41207239031791687,-1.774111270904541,0.9745781421661377,-1.4960600137710571,1.056604027748108,-1.4630509614944458,1.035321593284607,-1.4493926763534546,1.0257247686386108,-1.443212866783142,1.0207046270370483,-1.4404990673065186,1.0184736251831055,-1.4392699003219604,1.0174481868743896,-1.4386554956436157,1.0169355869293213,-1.4383481740951538,1.0166795253753662
a-108,-1.5073624849319458,1.9237098693847656,-1.6300386190414429,1.4341424703598022,-1.5624715089797974,1.2450259923934937,-1.496181607246399,1.1365538835525513,-1.4654649496078491,1.0785975456237793,-1.4513050317764282,1.0481796264648438,-1.4446731805801392,1.0323015451431274,-1.441356897354126,1.0243619680404663,-1.4396995306015015,1.0203927755355835,-1.4388706684112549,1.0184080600738525
a-109,-1.3040695190429688,1.0878387689590454,-1.4772762060165405,1.021644115447998,-1.4773050546646118,0.9852437376976013,-1.4528237581253052,0.9956334829330444,-1.4453785419464111,1.0063350200653076,-1.4416558742523193,1.0116862058639526,-1.439794659614563,1.0143617391586304,-1.4388638734817505,1.0156993865966797,-1.438423991203308,1.0162224769592285,-1.4382327795028687,1.0163229703903198
a-11,-0.851525068283081,1.1494603157043457,-1.3098348379135132,0.9681074619293213,-1.4319307804107666,1.0133836269378662,-1.4304882287979126,1.027577519416809,-1.4310039281845093,1.0188254117965698,-1.4343370199203491,1.0178710222244263,-1.4361350536346436,1.0174541473388672,-1.4370341300964355,1.017245888710022,-1.437483549118042,1.0171414613723755,-1.4377520084381104,1.0168421268463135
a-110,-1.621372103691101,1.062752604484558,-1.5922386646270752,1.0313338041305542,-1.5354056358337402,1.0218837261199951,-1.476131796836853,1.022249698638916,-1.454338788986206,1.02061128616333,-1.4461361169815063,1.0188241004943848,-1.4420344829559326,1.0179307460784912,-1.4400336742401123,1.0172017812728882,-1.439037561416626,1.0168125629425049,-1.4385395050048828,1.0166178941726685
a-111,-1.4234739542007446,0.6632047891616821,-1.4398102760314941,0.9247886538505554,-1.4564313888549805,0.9560333490371704,-1.4366470575332642,0.9857099056243896,-1.429355263710022,0.9914679527282715,-1.4324263334274292,1.0028144121170044,-1.4351800680160522,1.0099257230758667,-1.4365568161010742,1.0134786367416382,-1.437299370765686,1.0149508714675903,-1.4376698732376099,1.0156869888305664
a-112,-1.1446598768234253,0.6498312950134277,-1.3240728378295898,0.8611524105072021,-1.3925416469573975,0.9031670093536377,-1.4093014001846313,0.9678928852081299,-1.422988772392273,0.993509829044342,-1.430461049079895,1.005273699760437,-1.4341974258422852,1.011155366897583,-1.4360699653625488,1.014068365097046,-1.4370557069778442,1.015246033668518,-1.4375483989715576,1.0158345699310303
a-113,-1.7869846820831299,0.596873939037323,-1.6986404657363892,0.7450478076934814,-1.585546612739563,0.8258559107780457,-1.5003573894500732,0.940768837928772,-1.462220549583435,0.9842537641525269,-1.4497394561767578,1.0012462139129639,-1.4438904523849487,1.0088348388671875,-1.440966010093689,1.0126289129257202,-1.4395033121109009,1.0145260095596313,-1.4387726783752441,1.015474796295166
a-114,-1.8350099325180054,1.3465219736099243,-1.536276936531067,1.2268263101577759,-1.4922685623168945,1.0889503955841064,-1.465195655822754,1.0440565347671509,-1.4508764743804932,1.0300432443618774,-1.4444259405136108,1.023209810256958,-1.441233515739441,1.019816517829895,-1.4396377801895142,1.0181200504302979,-1.4388395547866821,1.0172713994979858,-1.4384405612945557,1.0168473720550537
a-115,-2.0463309288024902,0.549888014793396,-1.8557299375534058,0.8844618797302246,-1.6518760919570923,0.9061400890350342,-1.5426641702651978,0.9201498031616211,-1.4853206872940063,0.965947151184082,-1.459119439125061,0.989895224571228,-1.4485267400741577,1.003466248512268,-1.4432322978973389,1.010237693786621,-1.4406369924545288,1.0133304595947266,-1.4393389225006104,1.0148766040802002
